	id	logo	name	token	tokenDescription	tokenAddress	tokenDecimals	tokenDescriptionUrl	earnedToken	earnedTokenAddress	earnContractAddress	pricePerFullShare	tvl	oracle	oracleid	oraclePrice	depositsPaused	status	platform	assets	callFee	launchpool	refundContractAddress
0	bifi-maxi	single-assets/BIFI.png	BIFI Maxi	BIFI	Uses: Beefy.Finance	0xCa3F508B8e4Dd382eE878A314789373D80A5190A	18	https://docs.beefy.finance/beefyfinance/products/bifi-maxi	mooBIFI	0xf7069e41C57EcC5F122093811d8c75bdB5f7c14e	0xf7069e41C57EcC5F122093811d8c75bdB5f7c14e	1	0	pancake	BIFI	0	False	active	Beefy	['BIFI']	0.5		
1	auto-beth-eth	uncategorized/BETH-ETH.svg	BETH-ETH LP	BETH-ETH LP	Uses: Autofarm	0x99d865Ed50D2C32c1493896810FA386c1Ce81D91	18	#	mooAutoBETH-ETH	0xF3C1EB01E40c47fd32D0397e56569809aae0e9c7	0xF3C1EB01E40c47fd32D0397e56569809aae0e9c7	1	0	lps	auto-beth-eth	0	False	active	Autofarm	['BETH', 'ETH']	0.5	moo_auto_beth-soups	
2	auto-wbnb	single-assets/WBNB.svg	WBNB	WBNB	Uses: Autofarm	0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c	18	#	mooAutoWbnbFixed	0x5B06aA1ebd2e15bC6001076355E5B4C39Cbc83F3	0x5B06aA1ebd2e15bC6001076355E5B4C39Cbc83F3	1	0	pancake	WBNB	0	False	active	Autofarm	['BNB']	0.5	moo_auto_wbnb-banana	
3	venus-ada	single-assets/ADA.svg	ADA	ADA	Uses: Venus	0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47	18	#	mooVenusADA	0x53c0CE2EBdA0c2A39327bE0B58a3c28A8Dcde420	0x53c0CE2EBdA0c2A39327bE0B58a3c28A8Dcde420	1	0	pancake	ADA	0	False	active	Venus	['ADA']	1.0	moo_venus_ada-crow	
4	venus-btcb	single-assets/BTCB.svg	BTCB	BTCB	Uses: Venus	0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c	18	#	mooVenusBTCB	0x7255Ae13BA4484eD33fB48c4b833000dC12888B4	0x7255Ae13BA4484eD33fB48c4b833000dC12888B4	1	0	pancake	BTCB	0	False	active	Venus	['BTC']	1.0	moo_venus_btc-ramen	
5	venus-eth	single-assets/ETH.png	ETH	ETH	Uses: Venus	0x2170Ed0880ac9A755fd29B2688956BD959F933F8	18	#	mooVenusETH	0xA9936272065e6DDAc9D2453C9a2712B581e9aE1B	0xA9936272065e6DDAc9D2453C9a2712B581e9aE1B	1	0	pancake	ETH	0	False	active	Venus	['ETH']	1.0	moo_venus_eth-brew	
6	auto-cake	single-assets/SMART.png	CAKE	CAKE	Uses: Autofarm	0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	18	#	mooAutoCakeFixed	0xe0B473c0dD6D7Fea5B395c3Ce7ffd4FEF0ab4373	0xe0B473c0dD6D7Fea5B395c3Ce7ffd4FEF0ab4373	1	0	pancake	Cake	0	False	active	Autofarm	['CAKE']	0.5	moo_auto_cake-salt	
7	cake-bel-bnb	bnb-pairs/BEL-BNB.svg	BEL-BNB LP	BEL-BNB LP	Uses: Pancake	0xAB97952a2806D5c92b7046c7aB13a72A87e0097b	18	#	mooPancakeBEL-BNB	0x7C001B962029C0a59b148293838dc780d7E5d24C	0x7C001B962029C0a59b148293838dc780d7E5d24C	1	0	lps	cake-bel-bnb	0	False	active	Pancake	['BEL', 'BNB']	0.5		
8	cake-tpt-busd	busd-pairs/TPT-BUSD.svg	TPT-BUSD LP	TPT-BUSD LP	Uses: Pancake	0x4db28767D1527bA545CA5bbdA1C96a94ED6ff242	18	#	mooPancakeTPT-BUSD	0x6b4971b8dAfc3c426EdE7E629394f31B0BdF3c16	0x6b4971b8dAfc3c426EdE7E629394f31B0BdF3c16	1	0	lps	cake-tpt-busd	0	False	active	Pancake	['TPT', 'BNB']	0.5		
9	cake-watch-bnb	bnb-pairs/WATCH-BNB.svg	WATCH-BNB LP	WATCH-BNB LP	Uses: Pancake	0xdC6C130299E53ACD2CC2D291fa10552CA2198a6b	18	#	mooPancakeWATCH-BNB	0x31b4d6D89531BB32307737C441a8cD7d82224B91	0x31b4d6D89531BB32307737C441a8cD7d82224B91	1	0	lps	cake-watch-bnb	0	False	active	Pancake	['WATCH', 'BNB']	0.5		
