,bscContractAddress,bscSymbol,name,ethSymbol,transaction_type,ethContractAddress
0,0x2ff3d0f6990a40261c66e1ff2017acbc282eb6d0,vSXP,Venus SXP,,Interact with Venus,
1,0x151b1e2635a717bcdc836ecd6fbb62b674fe3e1d,vXVS,Venus XVS,,Interact with Venus,
2,0xeca88125a5adbe82614ffc12d0db554e2e2867c8,vUSDC,Venus USDC,,Interact with Venus,
3,0xfd5840cd36d94d7229439859c0112a4185bc0255,vUSDT,Venus USDT,,Interact with Venus,
4,0x95c78222b3d6e262426483d42cfa53685a67ab9d,vBUSD,Venus BUSD,,Interact with Venus,
5,0xa07c5b74c9b40447a954e1466938b865b6bbea36,vBNB,Venus BNB,,Interact with Venus,
6,0x882c173bc7ff3b7786ca16dfed3dfffb9ee7847b,vBTC,Venus BTC,,Interact with Venus,
7,0xf508fcd89b8bd15579dc79a6827cb4686a3592c8,vETH,Venus ETH,,Interact with Venus,
8,0x57a5297f2cb2c0aac9d554660acd6d385ab50c6b,vLTC,Venus LTC,,Interact with Venus,
9,0xb248a295732e0225acd3337607cc01068e3b9c10,vXRP,Venus XRP,,Interact with Venus,
10,0x5f0388ebc2b94fa8e123f404b79ccf5f40b29176,vBCH,Venus BCH,,Interact with Venus,
11,0x1610bc33319e9398de5f57b33a5b184c806ad217,vDOT,Venus DOT,,Interact with Venus,
12,0x650b940a1033b8a1b1873f78730fcfc73ec11f1f,vLINK,Venus LINK,,Interact with Venus,
13,0x334b3ecb4dca3593bccc3c7ebd1a1c1d1780fbf1,vDAI,Venus DAI,,Interact with Venus,
14,0xf91d58b5ae142dacc749f58a49fcbac340cb0343,vFIL,Venus FIL,,Interact with Venus,
15,0x972207a639cc1b374b893cc33fa251b55ceb7c07,vBETH,Venus BETH,,Interact with Venus,
16,0x9a0af7fdb2065ce470d72664de73cae409da28ec,vADA,Venus ADA,,Interact with Venus,
17,0xec3422ef92b2fb59e84c8b02ba73f1fe84ed8d71,vDOGE,Venus DOGE,,Interact with Venus,
0,0x55d398326f99059fF775485246999027B3197955,BUSD-T,TetherUS,USDT,Transfer with Binance Bridge,0xdac17f958d2ee523a2206206994597c13d831ec7
1,0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,Ethereum,ETH,Transfer with Binance Bridge,
2,0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,Bitcoin,BBTC,Transfer with Binance Bridge,0x9be89d2a4cd102d8fecc6bf9da793be995c22541
3,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,BCH,Bitcoin Cash,BBCH,Transfer with Binance Bridge,0x85c4EdC43724e954e5849cAAab61A26a9CB65F1B
4,0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,Polkadot,BDOT,Transfer with Binance Bridge,0x7884f51dc1410387371ce61747cb6264e1daee0b
5,0x0D8Ce2A99Bb6e3B7Db580eD848240e4a0F9aE153,FIL,Filecoin,BFIL,Transfer with Binance Bridge,0x8E16bf47065Fe843A82f4399bAF5aBac4E0822B7
6,0x658a109c5900bc6d2357c87549b651670e5b0539,FOR,ForTube,FOR,Transfer with Binance Bridge,0x1fcdce58959f536621d76f5b7ffb955baa5a672f
7,0x4338665cbb7b2485a8855a139b75d5e34ab0db94,LTC,Litecoin,,Transfer with Binance Bridge,
8,0x0eb3a705fc54725037cc9e008bdede697f62f335,ATOM,Cosmos,,Transfer with Binance Bridge,
9,0xfd7b3a77848f1c2d67e05e54d78d174a0c850335,ONT,Ontology,,Transfer with Binance Bridge,
10,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47,ADA,Cardano,,Transfer with Binance Bridge,
11,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3,DAI,Dai,DAI,Transfer with Binance Bridge,0x6b175474e89094c44da98b954eedeac495271d0f
12,0x56b6fb708fc5732dec1afc8d8556423a2edccbd6,EOS,EOS,,Transfer with Binance Bridge,
13,0xad6caeb32cd2c308980a548bd0bc5aa4306c6c18,BAND,BAND,BAND,Transfer with Binance Bridge,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55
14,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,Ripple,,Transfer with Binance Bridge,
15,0x16939ef78684453bfdfb47825f8a5f714f12623a,XTZ,Tezos,,Transfer with Binance Bridge,
16,0x101d82428437127bF1608F699CD651e6Abf9766E,BAT,Basic Attention Token,BAT,Transfer with Binance Bridge,0x0d8775f648430679a709e98d2b0cb6250d2887ef
17,0x9Ac983826058b8a9C7Aa1C9171441191232E8404,SNX,Synthetix Network Token,SNX,Transfer with Binance Bridge,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f
18,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,UNI,Uniswap,UNI,Transfer with Binance Bridge,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
19,0x7F70642d88cf1C4a3a7abb072B53B929b653edA5,YFII,DFI.Money,YFII,Transfer with Binance Bridge,0xa1d0E215a23d7030842FC67cE582a6aFa3CCaB83
20,0x88f1A5ae2A3BF98AEAF342D26B30a79438c9142e,YFI,yearn.finance,YFI,Transfer with Binance Bridge,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e
21,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,LINK,ChainLink,LINK,Transfer with Binance Bridge,0x514910771af9ca656af840dff83e8264ecf986ca
22,0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63,NEAR,NEAR Protocol,,Transfer with Binance Bridge,
23,0x1Ba42e5193dfA8B03D15dd1B86a3113bbBEF8Eeb,ZEC,Zcash,,Transfer with Binance Bridge,
24,0x52ce071bd9b1c4b00a0b92d298c512478cad67e8,COMP,Compound,COMP,Transfer with Binance Bridge,0xc00e94cb662c3520282e6f5717214004a7f26888
25,0x5f0da599bb2cccfcf6fdfd7d81743b6020864350,MKR,Maker,MKR,Transfer with Binance Bridge,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2
26,0xca0a9df6a8cad800046c1ddc5755810718b65c44,TCT,TokenClub Token,TCT,Transfer with Binance Bridge,0x4824a7b64e3966b0133f4f4ffb1b9d6beb75fff7
27,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,IOTX,IoTeX,IOTX,Transfer with Binance Bridge,0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
28,0x8443f091997f06a61670B735ED92734F5628692F,BEL,Bella Protocol,BEL,Transfer with Binance Bridge,0xa91ac63d040deb1b7a5e4d4134ad23eb0ba07e14
29,0xa3f020a5C92e15be13CAF0Ee5C95cF79585EeCC9,ELF,aelf,ELF,Transfer with Binance Bridge,0xbf2179859fc6d5bee9bf9158632dc51678a4100e
30,0xb7f8cd00c5a06c0537e2abff0b58033d02e5e094,PAX,Paxos Standard,PAX,Transfer with Binance Bridge,0x8e870d67f660d95d5be530380d0ec0bd388289e1
31,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,USDC,USD Coin,USDC,Transfer with Binance Bridge,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
32,0xa2B726B1145A4773F68593CF171187d8EBe4d495,INJ,Injective Protocol,INJ,Transfer with Binance Bridge,0xe28b3b32b6c345a34ff64674606124dd5aceca30
33,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,SXP,Swipe,SXP,Transfer with Binance Bridge,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9
34,0x3d6545b08693daE087E957cb1180ee38B9e3c25E,,Ethereum Classic,,Transfer with Binance Bridge,
35,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,EGLD,Elrond eGold,eGLD,Transfer with Binance Bridge,0xe3fb646fC31Ca12657B17070bC31a52E323b8543
36,0xAb301DaE71f5B386C566f484e636Aee60318F12F,COCOS,Cocos-BCX,COCOS,Transfer with Binance Bridge,0x0C6f5F7D555E7518f6841a79436BD2b1Eef03381
37,0x928e55dab735aa8260af3cedada18b5f70c72f1b,FRONT,Frontier,FRONT,Transfer with Binance Bridge,0xf8C3527CC04340b208C854E985240c02F7B7793f
38,0xae9269f27437f0fcbc232d39ec814844a51d6b8f,BURGER,Burger Swap,BURGER,Transfer with Binance Bridge,0x2a4A071BCe925D210797c6FB0BC7bd08a80Cb9c2
39,0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,BUSD,BUSD,Transfer with Binance Bridge,0x4fabb145d64652a948d72533023f6e7a623c7c53
40,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,DOGE,Dogecoin,,Transfer with Binance Bridge,
41,0x947950bcc74888a40ffa2593c5798f11fc9124c4,SUSHI,Sushi,SUSHI,Transfer with Binance Bridge,0x6B3595068778DD592e39A122f4f5a5cF09C90fE2
42,0xfb6115445bff7b52feb98650c87f44907e58f802,AAVE,Aave,AAVE,Transfer with Binance Bridge,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9
43,0x67ee3Cb086F8a16f34beE3ca72FAD36F7Db929e2,DODO,DODO,DODO,Transfer with Binance Bridge,0x43Dfc4159D86F3A37A5A4B3D4580b888ad7d4DDd
44,0x111111111117dC0aa78b770fA6A738034120C302,1INCH,1inch,1INCH,Transfer with Binance Bridge,0x111111111117dC0aa78b770fA6A738034120C302
45,0x8cd6e29d3686d24d3c2018cee54621ea0f89313b,NULS,Nuls,,Transfer with Binance Bridge,
46,0xd4CB328A82bDf5f03eB737f37Fa6B370aef3e888,CREAM,Cream Finance,CREAM,Transfer with Binance Bridge,0x2ba592F78dB6436527729929AAf6c908497cB200
47,0xd72aA9e1cDDC2F6D6e0444580002170fbA1f8eED,MDA,Moeda Loyalty Points,MDA,Transfer with Binance Bridge,0x51db5ad35c671a87207d88fc11d593ac0c8415bd
48,0xB2BD0749DBE21f623d9BABa856D3B0f0e1BFEc9C,DUSK,Dusk Network,DUSK,Transfer with Binance Bridge,0x940a2db1b7008b6c776d4faaca729d6d4a4aa551
49,0xe4ca1f75eca6214393fce1c1b316c237664eaa8e,ORN,Orion Protocol,ORN,Transfer with Binance Bridge,0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a
50,0x039cb485212f996a9dbb85a9a75d898f94d38da6,DEXE,DeXe,DEXE,Transfer with Binance Bridge,0xde4EE8057785A7e8e800Db58F9784845A5C2Cbd6
51,0x857B222Fc79e1cBBf8Ca5f78CB133d1b7CF34BBd,LTO,LTO Network,LTO,Transfer with Binance Bridge,0x3DB6Ba6ab6F95efed1a6E794caD492fAAabF294D
52,0xf21768ccbc73ea5b6fd3c687208a7c2def2d966e,REEF,Reef Finance,REEF,Transfer with Binance Bridge,0xfe3e6a25e6b192a42a44ecddcd13796471735acf
53,0x96Dd399F9c3AFda1F194182F71600F1B65946501,COS,Contentos,COS,Transfer with Binance Bridge,0x589891a198195061Cb8ad1a75357A3b7DbaDD7Bc
54,0x3fda9383a84c05ec8f7630fe10adf1fac13241cc,DEGO,Dego Finance,DEGO,Transfer with Binance Bridge,0x88ef27e69108b2633f8e1c184cc37940a075cc02
55,0xcc42724c6683b7e57334c4e856f4c9965ed682bd,MATIC,Polygon,MATIC,Transfer with Binance Bridge,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0
56,0x8da443f84fea710266c8eb6bc34b71702d033ef2,CTSI,Cartesi,CTSI,Transfer with Binance Bridge,0x491604c0FDF08347Dd1fa4Ee062a822A5DD06B5D
57,0xa069008a669e2af00a86673d9d584cfb524a42cc,BNT,Bancor,BNT,Transfer with Binance Bridge,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c
58,0x4b87642aedf10b642be4663db842ecc5a88bf5ba,BZRX,bZx Protocol,BZRX,Transfer with Binance Bridge,0x56d811088235F11C8920698a204A5010a788f4b3
59,0x668db7aa38eac6b40c9d13dbe61361dc4c4611d1,MDT,Measurable Data Token,MDT,Transfer with Binance Bridge,0x814e0908b12a99fecf5bc101bb5d0b8b5cdf7d26
